"","id_jednostki","klasa_pr","sek","woj","zawod_kod2","wolne_miejsca_cbop","jedna_zmiana"
"1","03950533c4990dd3e6b80312d98d7bf7877d6cdc","D",1,22,2,1,TRUE
"2","fc1e0932170f7ec7da987a060bfb7ab01a928b3f","D",1,14,9,2,TRUE
"3","ec812df7c443d9681645795c35687241418466ea","D",1,12,5,3,FALSE
"4","ec812df7c443d9681645795c35687241418466ea","D",1,12,9,4,TRUE
"5","f59016808a975f0f45ab571899d50d4931cebaeb","D",1,24,2,2,TRUE
"6","76f26af4360f38e53850ea0628131fd7a8c51a82","D",1,4,2,1,TRUE
"7","76f26af4360f38e53850ea0628131fd7a8c51a82","D",1,4,8,1,TRUE
"8","93460d8f8f00e0dcd4ad92d099fc8aa84a5c6e6c","D",1,16,3,1,TRUE
"9","6888b88554e327c845cd6ea9ea49c3db472cd53b","D",1,2,2,1,TRUE
"10","1f37663b133683c5875b8ede62cbbe8f4e247bf6","D",2,14,2,4,FALSE
"11","1f37663b133683c5875b8ede62cbbe8f4e247bf6","D",2,14,2,3,TRUE
"12","37a5e19de669ad21e796cf802de6d8063a7161a8","D",1,20,3,2,TRUE
"13","c730010abdb9d20ccab34eacbe3c22a56fedad66","D",1,6,4,13,TRUE
"14","ef8de3a94847a122e388a4d4048860cb0193372c","D",1,10,3,1,TRUE
"15","bf17263f8fa3a9ff12d7ff60c10c4e426aeeb36e","D",1,4,4,2,TRUE
"16","0524bdaf246c43be2fc5ea41ec52cca6e85e3873","D",1,28,3,1,TRUE
"17","cddb17360e586cb6261f29a48be24b169ee7dd73","M",2,32,2,1,TRUE
"18","4eaa5fc7335729c35683016a1fea6eb648d0ba32","D",1,24,2,2,TRUE
"19","7951f3120fe601dac7b8ac7a7166fc7c7a906600","D",2,26,7,1,FALSE
"20","14319a27f8c2e54f3e5af8ffb56b1bcf74595723","D",2,2,7,1,FALSE
"21","a2e446e19e441ad7fbdc6ebc53291a6d989aa077","D",1,2,2,2,FALSE
"22","a113a50971966481ed30e5461a056a5dfbf6fe28","D",1,14,7,1,TRUE
"23","dfb6158e438e00b99cea18c62045befd071407a0","D",1,14,2,3,TRUE
"24","120119a653088ec6f7d663d623d32466a2529825","D",2,32,2,3,FALSE
"25","6d359c591783e8bd065ab63384438d343b2592de","D",1,14,3,1,TRUE
"26","a7d01e272c34409d95fd49e5249af5ccfcb01f4a","D",1,14,2,1,TRUE
"27","3a4529b50f6d319870410ab21bbd11ad3613e250","D",1,14,2,6,TRUE
"28","cf3dfbbd4c0d809bfbeb0b0d6e8c3355023dddc2","S",1,18,1,1,TRUE
"29","887e9dc5fa914ffb7feeec7b4d2642b068024738","D",1,10,3,1,TRUE
"30","4a6beaf40d9c122e1ce54006a3e0bc4b39391de5","S",1,32,3,1,TRUE
"31","47865b3e5eb8d1f049935a5b3a2b35454da137da","D",1,22,2,2,TRUE
"32","47865b3e5eb8d1f049935a5b3a2b35454da137da","D",1,22,2,2,TRUE
"33","7461df0f3ebd0051b97cf580eacef1237a30cec1","D",1,32,9,1,TRUE
"34","3a7662b5cdef724bf60a9790e2082e8b4a986d42","S",1,30,2,3,TRUE
"35","58bbcd34c1f57c626c6081ffadc5be15a1cec04b","D",1,2,2,1,TRUE
"36","58bbcd34c1f57c626c6081ffadc5be15a1cec04b","D",1,2,2,1,TRUE
"37","864ff1bb17c9bb8f29b1e9b029bd13f1f49735ce","D",1,2,2,4,TRUE
"38","864ff1bb17c9bb8f29b1e9b029bd13f1f49735ce","D",1,2,2,6,TRUE
"39","864ff1bb17c9bb8f29b1e9b029bd13f1f49735ce","D",1,2,9,1,TRUE
"40","77cef4519e2a4f0564a30c09b0e4659d23a7cd97","D",1,4,2,1,TRUE
"41","c2676dd657f6d37a19598d734531e745a8972c8a","D",2,22,8,1,FALSE
"42","3e84e2d8f0ffc2c2384ce7be147e57c7295f34ac","D",1,22,3,1,TRUE
"43","b93e2d4df7f0e9df66ed6ec11c3d152da8382ec6","D",1,20,7,2,TRUE
"44","da77c2dc5b1d25d8cc23c67e460ba29ce8327303","D",1,6,2,1,TRUE
"45","da77c2dc5b1d25d8cc23c67e460ba29ce8327303","D",1,6,3,1,TRUE
"46","b3d95c8ff2110fb6f006cea06f7997791d3d495e","S",1,2,2,7,TRUE
"47","b3d95c8ff2110fb6f006cea06f7997791d3d495e","S",1,2,9,2,TRUE
"48","7c808068fbda10f29ad016a92cc6096b4e0823d0","D",1,10,2,1,TRUE
"49","8e000df38acd14b2cdec14ca1d4f2e0fd880fbbb","D",1,14,9,1,TRUE
"50","725392a1a63af6369e9bc142f4f21325b6b2935a","D",1,2,2,2,TRUE
"51","57528ba6d1ae850ad84fbf40d217d86817056911","D",1,24,2,2,TRUE
"52","34355a0136582f19686fcafadee2f8e82335e6c1","D",1,12,2,1,TRUE
"53","34355a0136582f19686fcafadee2f8e82335e6c1","D",1,12,3,1,TRUE
"54","12ecb178afbc07edba2de532505189ebb5b24294","S",1,8,2,1,TRUE
"55","e3d7e706ddfc8e3506f92122f61d63b5a63ff1f5","D",1,6,2,3,TRUE
"56","e3d7e706ddfc8e3506f92122f61d63b5a63ff1f5","D",1,6,9,1,FALSE
"57","25aae5eb284c8931994efb923d5dd6ef5681d7e8","D",1,14,2,3,TRUE
"58","9852470dbabdac86e8197614925159347a6dbd09","D",1,8,2,2,TRUE
"59","7bd5d3654d72488494bebbbe56820e3f7b281fc1","D",1,4,2,2,FALSE
"60","6c3106c248f93cff099d118a8424b08e31803f42","D",1,18,2,2,TRUE
"61","bfb45db101faffb41fdd392c8fe3b1af8ef5c3f6","D",1,32,9,1,TRUE
"62","a404a9c042383e3b721ffdbac179338985105924","D",1,22,2,3,TRUE
"63","a404a9c042383e3b721ffdbac179338985105924","D",1,22,9,1,FALSE
"64","8f2e6fd6335885bb4d20060da7df8fe9ab8d7500","D",1,14,9,1,TRUE
"65","23a810f9e39a8cefbb6420a2e22a3d80e8e98693","D",1,12,1,1,TRUE
"66","857bb02e4aa6b451eb04e7d80edc90e7ee400358","D",1,12,2,2,TRUE
"67","244bd57e02185923a66840254fc72756ba702955","D",1,6,2,2,TRUE
"68","d649dcc034e1eee6bbade219f359cfe123d867ba","D",1,12,2,5,TRUE
"69","f390dc72425a56c1834a9719776d64d5ecc631e1","D",1,2,2,4,TRUE
"70","47eacdbbf8019b6056aece3ade0952580da8b9a7","D",1,12,2,1,TRUE
"71","8edba328b904de07aa3ef7a6e7ef61f8b8a8b3b0","D",1,14,9,1,TRUE
"72","85135275ff3bd70b8ea3c15055466ab5a968735a","D",1,14,2,2,TRUE
"73","85135275ff3bd70b8ea3c15055466ab5a968735a","D",1,14,2,3,TRUE
"74","0e206d72d1ee709ca9e231abdbfdd8426092b9be","D",1,22,3,1,TRUE
"75","451f2881d2e7dda527b53b77d6daa447961669ef","D",1,10,8,1,TRUE
"76","576d4f76f2b6e91a7ea2fa56ad1ee7d1d92d26fa","D",1,12,2,1,TRUE
"77","e3e8f0a6608608fb886e6151439f620549b183f3","D",1,2,2,1,TRUE
"78","fc6aea21172005add041192624b0255fd0e112d7","D",1,32,9,2,FALSE
"79","b4dba70110439c9d56a138dcc2be00fc411d6637","D",1,14,2,2,TRUE
"80","ea1a80dcef4b73a380183616dc25ec2fe43e296d","D",1,28,2,2,TRUE
"81","ea1a80dcef4b73a380183616dc25ec2fe43e296d","D",1,28,2,1,TRUE
"82","a4d3b43d5477f1be3cfcfaeb0343422b5266f5bf","D",1,2,2,3,TRUE
"83","a4d3b43d5477f1be3cfcfaeb0343422b5266f5bf","D",1,2,9,2,FALSE
"84","4cd498a7952eda82bea71d40754e81b9760d292c","D",1,4,9,1,TRUE
"85","d1de22e3d1fcd15df1cda25bc5379277c775d839","D",1,28,2,2,TRUE
"86","29a119489d7d25a622f71420ebe37f8abb125127","S",1,22,9,1,FALSE
"87","d9c674087b6505498970857573b11f0b61a341f6","D",1,18,2,1,TRUE
"88","708f2c2d0e8ddce3abeb63e79f8c35fb22306737","D",1,22,2,2,TRUE
"89","9fd0787c8e66c755d99647eec2d6c2be206713dd","D",1,6,5,1,FALSE
"90","9fd0787c8e66c755d99647eec2d6c2be206713dd","D",1,6,8,1,FALSE
"91","89dcee76011c2625410631b177e0729a3e3ee301","D",1,6,2,1,TRUE
"92","58aff82436115bd514c8e9706ebad583747ca07e","D",1,6,2,2,TRUE
"93","ba590014692c12d94e589736fa03f3580e03e04b","D",1,6,2,1,TRUE
"94","9e27beddb91143dc363873c78f8b14c54de86f79","D",1,14,2,5,TRUE
"95","9e27beddb91143dc363873c78f8b14c54de86f79","D",1,14,4,1,TRUE
"96","8b36234e05702419ef77a7088e6cd143f11e3f2d","D",1,14,9,1,FALSE
"97","c48789c1e59821cb85e485ccc315ef2250c1c508","S",1,24,2,1,FALSE
"98","54ce0fc5e2a397eaf129c2de1c054b964a4b5fe7","D",1,12,2,3,TRUE
"99","a3a1485bced7eebc8be54eb7136c5aca2d90e8f7","D",1,22,4,1,TRUE
"100","811305923cc3b9e079a45a1df47a262290214dd5","D",1,12,2,2,TRUE
