"","id_jednostki","klasa_pr","sek","woj","zawod_kod2","waga","wolne_miejsca"
"1","a9cc990df6a99ab215a1bc13f51d4825c7d52d18","D",1,14,1,1,2
"2","a9cc990df6a99ab215a1bc13f51d4825c7d52d18","D",1,14,2,1,7
"3","c9dbaf50890165ebe810aa770de0e9df903dc35b","D",1,24,2,6,6
"4","718e0bba42bcec6ed98f9690db6d26cb7b93c880","D",1,14,2,1,7
"5","532a1879a692b9d7bbb7282ba757d028156ef341","D",1,14,2,1,6
"6","0b6b623fa45e257284a3049d097af322841337e3","D",1,22,2,1,1
"7","c855a825e80866c00c7513721d5fcb38929f3cd6","S",1,26,4,1,3
"8","98861ee6b125b54b82dd6b27a86b85c13446b2ea","D",1,12,2,1,5
"9","98861ee6b125b54b82dd6b27a86b85c13446b2ea","D",1,12,4,1,4
"10","c8031e4e01ecee538c8c0685a0c90c759d7de62a","S",1,18,2,1,3
"11","c8031e4e01ecee538c8c0685a0c90c759d7de62a","S",1,18,3,1,6
"12","c8031e4e01ecee538c8c0685a0c90c759d7de62a","S",1,18,5,1,3
"13","305431233b9bf5157154e6d6c9273e508897964a","D",1,14,2,1,4
"14","f2ac960927b5254a7ce3429a8e37419612ba9fac","D",1,2,2,1,5
"15","d295e79ff582821bd6ba881d8a1c1d8cf3c3b1e1","D",1,14,1,1,2
"16","194a8613393e6db03323f2cca57486bc43d47e69","D",1,12,2,1,5
"17","194a8613393e6db03323f2cca57486bc43d47e69","D",1,12,4,1,2
"18","1bcf788330a0829c33214dcfa459bee286368010","D",1,10,4,1,3
"19","1bcf788330a0829c33214dcfa459bee286368010","D",1,10,7,1,3
"20","a33fa075272278e58dbddf7e05a32c496383eebf","D",1,2,2,1,10
"21","a33fa075272278e58dbddf7e05a32c496383eebf","D",1,2,3,1,6
"22","a33fa075272278e58dbddf7e05a32c496383eebf","D",1,2,4,1,7
"23","13420a87af980b72b11d8ca5d7280ec002944db0","D",1,4,7,1,5
"24","145585674c5afe4f36eb0267f1976d05a1aa3cf3","D",1,4,2,1,16
"25","145585674c5afe4f36eb0267f1976d05a1aa3cf3","D",1,4,9,1,4
"26","44e1bf649ccc62322ae99033109a533dec9cb141","D",1,24,2,1,4
"27","44e1bf649ccc62322ae99033109a533dec9cb141","D",1,24,4,1,3
"28","d9371744a05b90857c741b6d5301135afc36f38f","D",1,14,2,1,15
"29","d9371744a05b90857c741b6d5301135afc36f38f","D",1,14,3,1,13
"30","d9371744a05b90857c741b6d5301135afc36f38f","D",1,14,4,1,3
"31","d9371744a05b90857c741b6d5301135afc36f38f","D",1,14,5,1,7
"32","1854b0829848a77a11bb82b8259f2c03f92100c9","D",1,10,2,1,10
"33","1854b0829848a77a11bb82b8259f2c03f92100c9","D",1,10,3,1,5
"34","7fddce081cbb1dd5da072e1683e9bfd20acab593","D",1,30,2,1,7
"35","7fddce081cbb1dd5da072e1683e9bfd20acab593","D",1,30,3,1,1
"36","7fddce081cbb1dd5da072e1683e9bfd20acab593","D",1,30,9,1,3
"37","7be60f7cb4e673bdfd08cd2e0f36a39d5184221c","D",1,12,3,1,4
"38","c365458756707fcaa4b845659738ee39887d394b","D",1,14,2,1,3
"39","41de5ca1bc184e4b814a37587938d69203850744","D",1,14,2,1,49
"40","41de5ca1bc184e4b814a37587938d69203850744","D",1,14,3,1,36
"41","41de5ca1bc184e4b814a37587938d69203850744","D",1,14,4,1,5
